timestamp;face id;yaw;pitch;roll;pose_state;pose_stable_state;head_drop_event;distracted_event;is_yawning;head_drops;perlook;yawn_freq;head_drop_freq;distraction_score;distraction_alert;fatigue_score;fatigue_alert
0;0;159.827;-13.523;1.431;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
1;0;159.999;-13.813;1.561;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
2;0;160.543;-14.227;2.235;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
3;0;162.221;-11.522;3.374;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
4;0;162.581;-11.198;3.733;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
5;0;162.903;-11.089;4.052;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
6;0;163.094;-11.180;4.087;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
7;0;163.281;-10.260;4.829;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
8;0;162.175;-13.012;3.547;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
9;0;161.731;-13.010;3.164;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
10;0;161.428;-12.954;2.875;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
11;0;160.962;-12.614;2.812;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
12;0;158.499;-12.692;2.041;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
13;0;159.810;-11.978;4.675;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
14;0;159.121;-10.784;6.757;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
15;0;161.947;-9.377;7.837;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
16;0;162.198;-9.091;8.364;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
