timestamp;face id;yaw;pitch;roll;pose_state;pose_stable_state;head_drop_event;distracted_event;is_yawning;head_drops;perlook;yawn_freq;head_drop_freq;distraction_score;distraction_alert;fatigue_score;fatigue_alert
0;0;161.606;-6.496;-1.974;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
1;0;162.132;-6.920;-1.921;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
2;0;161.926;-7.226;-1.961;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
3;0;161.442;-7.441;-2.073;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
4;0;158.514;-7.696;-2.633;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
5;0;147.360;-9.462;0.344;looking_right;normal;0;0;0;0;0.008;0.000;0.000;0.008;False;0.001;False
6;0;145.827;-8.093;1.896;looking_right;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
7;0;146.199;-8.780;1.858;looking_right;normal;0;0;0;0;0.025;0.000;0.000;0.025;False;0.003;False
8;0;147.138;-9.626;1.886;looking_right;normal;0;0;0;0;0.033;0.000;0.000;0.033;False;0.003;False
9;0;148.295;-10.063;1.593;looking_right;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
10;0;152.827;-8.885;-0.914;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
11;0;157.708;-7.048;-1.915;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
12;0;160.258;-6.443;-2.345;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
13;0;161.506;-6.160;-2.316;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
14;0;162.701;-5.697;-2.298;normal;looking_right;0;1;0;0;0.042;0.000;0.000;0.042;False;0.004;False
15;0;163.363;-4.956;-2.447;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
16;0;163.332;-5.135;-2.649;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
17;0;163.453;-5.027;-2.815;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
18;0;164.374;-4.486;-2.930;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
19;0;164.052;-4.314;-3.086;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
20;0;163.490;-4.304;-3.136;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
21;0;163.276;-4.280;-3.168;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
22;0;163.128;-4.327;-3.158;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
23;0;163.273;-4.210;-3.184;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
24;0;162.932;-4.331;-3.147;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
25;0;162.906;-4.847;-2.768;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
26;0;161.118;-3.607;-1.043;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
27;0;162.290;-7.799;-1.708;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
28;0;162.117;-7.828;-1.617;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
29;0;161.994;-7.819;-1.610;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
30;0;162.870;-6.096;-2.349;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
31;0;162.187;-5.962;-2.246;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
32;0;161.869;-5.766;-2.488;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
33;0;162.243;-5.135;-2.660;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
34;0;162.293;-5.182;-2.596;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
35;0;161.837;-5.321;-2.688;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
36;0;161.858;-5.381;-2.731;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
37;0;161.736;-5.470;-2.784;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
38;0;161.832;-5.384;-2.782;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
39;0;161.899;-5.440;-2.946;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
40;0;161.859;-5.608;-2.960;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
41;0;161.807;-5.376;-3.080;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
42;0;161.856;-5.245;-2.810;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
43;0;161.909;-5.281;-2.621;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
44;0;161.674;-5.520;-2.640;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
45;0;161.782;-5.329;-2.577;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
46;0;161.687;-5.520;-2.514;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
47;0;161.486;-6.125;-2.155;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
48;0;161.515;-6.257;-2.096;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
49;0;161.365;-6.318;-2.047;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
50;0;161.458;-6.318;-2.162;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
51;0;160.918;-7.740;-3.655;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
52;0;161.230;-7.774;-3.630;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
53;0;161.715;-7.879;-3.382;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
54;0;161.629;-7.840;-3.121;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
55;0;161.558;-7.674;-2.871;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
56;0;161.298;-7.766;-2.845;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
57;0;161.526;-7.600;-2.882;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
58;0;161.911;-7.064;-3.276;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
59;0;159.448;-7.866;-1.857;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
60;0;159.367;-8.248;-2.057;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
61;0;159.175;-8.996;-1.230;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
62;0;159.659;-7.266;-3.213;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
63;0;159.858;-8.763;-1.561;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
64;0;160.677;-8.561;-1.773;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
65;0;160.508;-8.698;-1.523;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
66;0;159.833;-9.080;-1.102;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
67;0;160.004;-7.568;-2.606;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
68;0;160.206;-7.262;-2.987;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
