timestamp;face id;yaw;pitch;roll;pose_state;pose_stable_state;head_drop_event;distracted_event;is_yawning;head_drops;perlook;yawn_freq;head_drop_freq;distraction_score;distraction_alert;fatigue_score;fatigue_alert
0;0;162.434;-7.646;5.457;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
1;0;163.822;-7.495;4.302;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
2;0;164.256;-8.498;3.647;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
3;0;163.105;-11.223;2.454;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
4;0;163.936;-9.669;2.957;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
5;0;163.555;-6.594;0.035;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
6;0;164.868;-5.957;1.343;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
7;0;163.105;-5.339;1.064;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
8;0;162.610;-5.049;1.342;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
9;0;161.925;-4.836;1.812;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
10;0;161.192;-4.582;2.366;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
11;0;161.086;-4.134;3.019;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
12;0;162.085;-2.899;3.016;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
13;0;162.238;-2.495;3.402;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
14;0;161.186;-8.969;3.818;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
15;0;160.773;-4.413;2.836;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
16;0;161.069;-4.177;2.567;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
17;0;162.232;-4.984;3.080;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
18;0;162.195;-4.555;2.948;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
19;0;161.639;-4.203;2.728;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
20;0;161.395;-4.637;2.800;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
21;0;161.222;-3.664;2.355;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
22;0;161.186;-3.419;2.281;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
23;0;161.372;-3.647;2.047;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
24;0;162.054;-4.619;2.573;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
25;0;161.748;-4.428;2.710;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
26;0;161.126;-3.203;1.715;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
27;0;161.270;-3.663;1.702;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
28;0;160.825;-4.532;3.104;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
29;0;160.519;-4.392;3.002;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
30;0;160.956;-3.744;2.780;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
31;0;161.226;-3.570;2.704;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
32;0;161.102;-4.212;2.668;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
33;0;161.050;-4.311;2.892;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
34;0;160.487;-4.896;2.735;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
35;0;159.657;-3.668;3.329;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
36;0;159.793;-0.270;2.215;head_up;normal;0;0;0;0;0.008;0.000;0.000;0.008;False;0.001;False
37;0;160.163;0.085;2.132;head_up;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
38;0;159.924;0.230;1.901;head_up;normal;0;0;0;0;0.025;0.000;0.000;0.025;False;0.003;False
39;0;159.744;0.246;1.998;head_up;normal;0;0;0;0;0.033;0.000;0.000;0.033;False;0.003;False
40;0;160.606;0.121;1.761;head_up;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
41;0;160.353;-3.743;2.822;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
42;0;161.591;-5.486;2.226;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
43;0;161.861;-6.144;2.208;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
44;0;161.787;-6.454;2.183;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
45;0;161.590;-6.541;2.048;normal;head_up;0;1;0;0;0.042;0.000;0.000;0.042;False;0.004;False
46;0;160.944;-6.720;2.124;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
47;0;160.562;-6.608;2.468;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
48;0;160.612;-6.403;2.464;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
49;0;160.547;-6.325;2.496;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
50;0;160.606;-6.033;2.736;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
51;0;160.771;-5.770;2.665;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
52;0;160.749;-4.877;2.828;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
53;0;160.685;-5.218;2.618;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
54;0;160.508;-4.801;2.984;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
55;0;159.821;-4.585;3.437;normal;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
