timestamp;face id;yaw;pitch;roll;pose_state;pose_stable_state;head_drop_event;distracted_event;is_yawning;head_drops;perlook;yawn_freq;head_drop_freq;distraction_score;distraction_alert;fatigue_score;fatigue_alert
0;0;165.333;-8.873;1.700;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
1;0;165.185;-7.697;1.866;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
2;0;164.916;-7.612;1.714;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
3;0;163.641;-2.911;0.687;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
4;0;160.965;-4.077;2.076;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
5;0;160.733;-3.600;2.404;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
6;0;160.833;-2.511;2.341;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
7;0;161.610;-5.660;2.431;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
8;0;161.151;-5.529;2.188;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
9;0;160.284;-3.837;2.032;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
10;0;159.737;-4.677;2.713;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
11;0;160.155;-4.765;3.073;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
12;0;161.258;-4.608;2.957;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
13;0;161.768;-4.135;2.421;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
14;0;161.799;-3.600;1.187;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
15;0;161.968;-5.717;1.076;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
16;0;161.128;-6.733;1.468;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
17;0;159.166;-3.378;1.404;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
18;0;158.752;-2.805;1.158;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
19;0;158.897;-5.952;2.113;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
20;0;159.135;-4.972;1.967;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
21;0;159.123;-4.826;1.970;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
22;0;159.386;-6.099;1.565;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
23;0;159.906;-6.000;1.681;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
24;0;159.958;-6.221;2.139;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
25;0;159.607;-6.608;2.150;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
26;0;159.230;-6.706;1.747;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
27;0;159.440;-6.326;1.118;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
28;0;159.043;-3.037;1.457;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
29;0;158.719;-3.162;0.974;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
30;0;158.425;-7.381;0.834;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
31;0;159.122;-5.307;-0.010;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
32;0;158.772;-4.214;0.352;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
33;0;160.166;-6.933;0.334;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
34;0;160.177;-5.592;0.917;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
35;0;159.883;-7.249;2.276;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
36;0;159.997;-7.285;2.100;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
37;0;160.060;-8.452;2.086;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
38;0;159.774;-8.462;1.928;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
39;0;159.355;-8.369;1.783;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
40;0;159.637;-8.056;1.598;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
41;0;159.466;-7.714;1.119;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
42;0;159.168;-7.420;-0.401;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
43;0;159.116;-7.203;-1.103;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
44;0;158.839;-7.201;-1.284;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
45;0;159.029;-7.474;-1.210;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
46;0;159.793;-5.797;-1.462;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
47;0;160.513;-4.796;-1.630;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
48;0;162.155;-5.503;-1.186;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
49;0;162.357;-7.572;0.334;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
50;0;162.020;-8.399;-0.122;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
51;0;161.955;-8.010;-0.024;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
52;0;160.529;-5.941;0.523;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
53;0;161.236;-5.961;1.816;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
54;0;160.954;-5.615;0.861;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
55;0;160.529;-7.079;1.398;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
56;0;160.298;-6.962;0.848;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
57;0;160.380;-5.019;0.778;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
58;0;160.464;-4.921;0.300;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
59;0;161.966;-8.021;0.998;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
60;0;160.759;-5.777;1.326;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
61;0;160.472;-5.540;1.132;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
62;0;160.066;-5.389;1.007;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
63;0;160.370;-4.957;1.669;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
64;0;160.195;-5.042;1.769;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
65;0;160.174;-5.394;1.801;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
66;0;159.950;-5.350;1.320;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
67;0;160.962;-7.468;0.872;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
68;0;161.051;-7.530;0.915;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
69;0;161.171;-7.436;1.024;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
70;0;160.010;-4.497;1.524;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
71;0;160.208;-4.038;1.664;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
72;0;160.267;-7.315;3.587;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
73;0;159.710;-7.383;4.036;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
74;0;159.900;-7.499;3.786;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
75;0;160.157;-7.355;3.474;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
76;0;160.218;-7.405;3.269;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
77;0;159.035;-4.969;3.183;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
78;0;160.807;-7.724;2.554;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
79;0;160.910;-7.736;2.141;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
80;0;160.936;-7.780;1.745;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
81;0;161.113;-8.229;1.774;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
82;0;161.891;-7.384;1.419;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
83;0;161.197;-7.708;1.951;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
84;0;161.088;-7.710;1.514;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
85;0;161.336;-7.613;1.255;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
86;0;160.101;-4.902;1.588;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
87;0;161.796;-7.449;1.222;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
88;0;162.035;-7.255;1.099;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
89;0;162.035;-7.178;1.375;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
90;0;160.460;-4.365;1.707;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
91;0;161.616;-6.876;2.165;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
92;0;162.123;-6.497;2.679;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
93;0;161.438;-5.274;2.029;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
94;0;161.451;-7.836;2.329;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
95;0;161.368;-7.989;2.764;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
96;0;161.446;-4.655;2.189;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
97;0;161.652;-4.536;2.096;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
98;0;161.953;-4.757;1.976;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
99;0;162.259;-4.791;1.746;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
100;0;161.936;-4.560;1.395;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
101;0;161.257;-3.551;0.976;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
102;0;162.014;-3.306;1.827;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
103;0;162.906;-3.156;2.099;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
104;0;164.083;-8.131;1.950;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
105;0;162.721;-5.286;0.862;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
106;0;162.134;-6.083;0.702;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
107;0;162.001;-6.456;0.766;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
108;0;161.864;-6.519;0.904;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
109;0;162.212;-9.481;1.949;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
110;0;160.699;-8.042;0.865;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
