timestamp;face id;yaw;pitch;roll;pose_state;pose_stable_state;head_drop_event;distracted_event;is_yawning;head_drops;perlook;yawn_freq;head_drop_freq;distraction_score;distraction_alert;fatigue_score;fatigue_alert
3;0;160.625;-8.310;-5.943;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
4;0;153.218;-13.701;-0.444;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
5;0;155.389;-2.015;-6.227;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
6;0;159.558;-2.653;-5.340;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
7;0;154.106;-8.202;-0.667;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
8;0;155.666;-11.963;1.765;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
9;0;154.809;-10.536;3.121;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
10;0;158.537;-9.420;3.652;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
11;0;156.924;-4.813;7.224;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
12;0;156.703;-2.724;8.070;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
13;0;156.487;-4.072;8.579;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
14;0;157.222;-2.263;6.048;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
15;0;156.754;-9.116;5.522;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
16;0;154.333;-6.631;4.684;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
17;0;154.385;-6.841;4.638;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
18;0;152.517;-9.808;5.165;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
