timestamp;face id;yaw;pitch;roll;pose_state;pose_stable_state;head_drop_event;distracted_event;is_yawning;head_drops;perlook;yawn_freq;head_drop_freq;distraction_score;distraction_alert;fatigue_score;fatigue_alert
3;0;157.586;-13.239;-0.246;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
4;0;-10000.000;-10000.000;-10000.000;unknown;normal;0;0;0;0;0.008;0.000;0.000;0.008;False;0.001;False
5;0;-10000.000;-10000.000;-10000.000;unknown;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
6;0;157.223;-8.114;4.770;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
7;0;156.169;-8.902;4.952;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
8;0;155.057;-9.512;3.735;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
9;0;155.278;-9.177;4.191;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
10;0;154.899;-8.644;4.426;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
11;0;154.410;-8.496;4.480;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
12;0;154.693;-8.435;4.742;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
13;0;154.733;-8.147;4.895;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
14;0;154.478;-8.076;5.159;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
15;0;154.583;-8.065;4.906;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
16;0;154.309;-10.481;4.988;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
17;0;154.958;-7.348;4.488;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
18;0;155.246;-8.556;4.326;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
19;0;157.335;-9.194;4.164;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
20;0;157.166;-12.071;2.955;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
21;0;158.315;-9.543;2.112;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
22;0;156.786;-6.573;4.116;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
23;0;152.557;-8.506;5.050;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
24;0;152.546;-7.997;4.834;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
25;0;153.760;-4.565;5.453;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
26;0;153.563;-4.958;5.115;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
27;0;151.677;-9.486;4.572;normal;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
