timestamp;face id;yaw;pitch;roll;pose_state;pose_stable_state;head_drop_event;distracted_event;is_yawning;head_drops;perlook;yawn_freq;head_drop_freq;distraction_score;distraction_alert;fatigue_score;fatigue_alert
0;0;170.594;-8.072;6.120;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
1;0;166.512;-6.535;4.646;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
2;0;162.083;-6.944;4.306;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
3;0;159.399;-7.071;3.075;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
4;0;162.884;-5.084;2.748;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
5;0;163.447;-5.477;2.833;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
6;0;165.571;-6.256;-0.029;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
7;0;166.697;-9.338;1.825;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
8;0;169.028;-9.682;1.982;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
9;0;170.304;-9.540;2.183;normal;normal;0;0;0;0;0.000;0.000;0.000;0.000;False;0.000;False
10;0;174.301;-6.949;3.318;looking_left;normal;0;0;0;0;0.008;0.000;0.000;0.008;False;0.001;False
11;0;175.442;-2.578;1.994;looking_left;normal;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
12;0;176.327;-4.394;2.341;looking_left;normal;0;0;0;0;0.025;0.000;0.000;0.025;False;0.003;False
13;0;181.754;-9.364;0.890;looking_left;normal;0;0;0;0;0.033;0.000;0.000;0.033;False;0.003;False
14;0;178.676;-6.739;1.268;looking_left;normal;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
15;0;178.752;-6.476;1.571;looking_left;looking_left;0;1;0;0;0.050;0.000;0.000;0.050;False;0.005;False
16;0;175.477;-4.249;2.901;looking_left;looking_left;0;1;0;0;0.058;0.000;0.000;0.058;False;0.006;False
17;0;174.447;-4.969;3.557;looking_left;looking_left;0;1;0;0;0.067;0.000;0.000;0.067;False;0.007;False
18;0;174.237;-3.892;5.490;looking_left;looking_left;0;1;0;0;0.075;0.000;0.000;0.075;False;0.007;False
19;0;163.290;-6.398;7.987;normal;looking_left;0;1;0;0;0.075;0.000;0.000;0.075;False;0.007;False
20;0;157.134;-3.658;7.953;normal;looking_left;0;1;0;0;0.075;0.000;0.000;0.075;False;0.007;False
21;0;152.696;-5.940;10.061;normal;looking_left;0;1;0;0;0.075;0.000;0.000;0.075;False;0.007;False
22;0;152.338;-5.610;9.078;normal;looking_left;0;1;0;0;0.075;0.000;0.000;0.075;False;0.007;False
23;0;151.946;-4.461;7.512;normal;looking_left;0;1;0;0;0.075;0.000;0.000;0.075;False;0.007;False
24;0;153.939;-5.680;6.972;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
25;0;155.075;-7.121;4.332;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
26;0;157.316;-9.837;2.467;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
27;0;155.426;-9.937;2.811;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
28;0;153.154;-11.149;4.255;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
29;0;153.071;-11.017;4.512;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
30;0;154.183;-9.588;3.661;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
31;0;155.090;-9.525;3.895;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
32;0;155.339;-9.544;3.906;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
33;0;155.154;-9.281;4.025;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
34;0;153.922;-9.056;4.377;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
35;0;153.885;-8.884;4.749;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
36;0;156.167;-6.056;4.578;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
37;0;158.834;-5.448;5.529;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
38;0;164.046;-7.098;7.192;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
39;0;162.593;-4.888;7.877;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
40;0;163.227;-4.735;8.195;normal;normal;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
