timestamp;face id;yaw;pitch;roll;pose_state;pose_stable_state;head_drop_event;distracted_event;is_yawning;head_drops;perlook;yawn_freq;head_drop_freq;distraction_score;distraction_alert;fatigue_score;fatigue_alert
0;0;179.059;-12.334;3.068;looking_left;looking_left;0;0;0;0;0.008;0.000;0.000;0.008;False;0.001;False
1;0;178.502;-12.287;3.312;looking_left;looking_left;0;0;0;0;0.017;0.000;0.000;0.017;False;0.002;False
2;0;176.594;-12.807;3.847;looking_left;looking_left;0;0;0;0;0.025;0.000;0.000;0.025;False;0.003;False
3;0;175.813;-15.984;1.661;looking_left;looking_left;0;0;0;0;0.033;0.000;0.000;0.033;False;0.003;False
4;0;187.383;-10.669;-1.271;looking_left;looking_left;0;0;0;0;0.042;0.000;0.000;0.042;False;0.004;False
5;0;-10000.000;-10000.000;-10000.000;unknown;looking_left;0;0;0;0;0.050;0.000;0.000;0.050;False;0.005;False
6;0;192.639;-10.103;1.122;looking_left;looking_left;0;0;0;0;0.058;0.000;0.000;0.058;False;0.006;False
7;0;191.621;-9.121;4.479;looking_left;looking_left;0;0;0;0;0.067;0.000;0.000;0.067;False;0.007;False
8;0;184.347;-13.445;1.941;looking_left;looking_left;0;0;0;0;0.075;0.000;0.000;0.075;False;0.007;False
9;0;182.589;-13.857;4.575;looking_left;looking_left;0;0;0;0;0.083;0.000;0.000;0.083;False;0.008;False
10;0;181.090;-6.103;5.123;looking_left;looking_left;0;0;0;0;0.092;0.000;0.000;0.092;False;0.009;False
11;0;176.330;-2.421;7.382;looking_left;looking_left;0;1;0;0;0.100;0.000;0.000;0.100;False;0.010;False
12;0;162.235;2.957;9.005;head_up;looking_left;0;1;0;0;0.108;0.000;0.000;0.108;False;0.011;False
13;0;162.122;2.845;8.437;head_up;looking_left;0;1;0;0;0.117;0.000;0.000;0.117;False;0.012;False
14;0;162.903;1.529;7.952;head_up;looking_left;0;1;0;0;0.125;0.000;0.000;0.125;False;0.013;False
15;0;161.552;-3.702;9.524;normal;looking_left;0;1;0;0;0.125;0.000;0.000;0.125;False;0.013;False
16;0;162.698;-5.497;5.012;normal;looking_left;0;1;0;0;0.125;0.000;0.000;0.125;False;0.013;False
17;0;155.371;-9.062;6.502;normal;looking_left;0;1;0;0;0.125;0.000;0.000;0.125;False;0.013;False
18;0;155.393;-8.732;7.061;normal;looking_left;0;1;0;0;0.125;0.000;0.000;0.125;False;0.013;False
19;0;155.664;-8.578;7.352;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
20;0;156.058;-8.295;7.615;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
21;0;155.900;-7.931;7.866;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
22;0;156.034;-8.369;6.893;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
23;0;155.734;-9.060;6.520;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
24;0;155.332;-9.263;5.390;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
25;0;154.228;-8.887;6.626;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
26;0;155.699;-6.783;6.350;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
27;0;155.198;-6.730;6.382;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
28;0;152.692;-9.712;6.550;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
29;0;153.257;-7.456;5.398;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
30;0;153.371;-7.569;5.423;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
31;0;153.510;-7.578;5.581;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
32;0;153.680;-7.543;5.609;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
33;0;152.737;-9.644;6.687;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
34;0;152.750;-9.828;6.206;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
35;0;154.481;-7.187;5.595;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
36;0;154.717;-6.946;5.879;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
37;0;155.034;-6.782;6.258;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
38;0;154.986;-6.728;6.128;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
39;0;154.313;-9.031;4.703;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
40;0;154.419;-9.089;4.893;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
41;0;154.723;-9.141;5.063;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
42;0;154.872;-9.226;5.085;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
43;0;155.236;-8.592;5.287;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
44;0;155.319;-8.444;5.227;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
45;0;154.195;-7.268;7.248;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
46;0;155.728;-7.020;7.541;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
47;0;154.909;-8.774;6.939;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
48;0;155.671;-9.048;6.676;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
49;0;153.957;-9.331;4.831;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
50;0;153.879;-9.593;4.792;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
51;0;153.659;-9.531;5.263;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
52;0;155.530;-9.046;7.070;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
53;0;155.835;-9.082;6.952;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
54;0;156.183;-9.132;6.980;normal;normal;0;0;0;0;0.125;0.000;0.000;0.125;False;0.013;False
